common_name,scientific_name,region,file_type,habitat_distribution,entry_number,subcategory
Sooty Grouse,Dendragapus fuliginosus,North America,Geographic,Pacific mountain forests,392,Grouse & Ptarmigan (12 Species)
Sharp-tailed Grouse,Tympanuchus phasianellus,North America,Geographic,Grasslands,393,Grouse & Ptarmigan (12 Species)
Greater Prairie-Chicken,Tympanuchus cupido,North America,Geographic,Tallgrass prairie,394,Grouse & Ptarmigan (12 Species)
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,North America,Geographic,Short grass prairie,395,Grouse & Ptarmigan (12 Species)
Greater Sage-Grouse,Centrocercus urophasianus,North America,Geographic,Sagebrush,396,Grouse & Ptarmigan (12 Species)
Gunnison Sage-Grouse,Centrocercus minimus,North America,Geographic,Colorado/Utah sagebrush,397,Grouse & Ptarmigan (12 Species)
Ring-necked Pheasant,Phasianus colchicus,North America,Geographic,Agricultural areas (Introduced),398,Pheasants (2 Species)
Green Pheasant,Phasianus versicolor,North America,Geographic,Vagrant (Introduced/Escaped),399,Pheasants (2 Species)
Gray Partridge,Perdix perdix,North America,Geographic,Agricultural areas (Introduced),400,Partridges (1 Species)
Northern Bobwhite,Colinus virginianus,North America,Geographic,Open woodlands/fields,401,New World Quail (6 Species)
Scaled Quail,Callipepla squamata,North America,Geographic,Desert grassland,402,New World Quail (6 Species)
California Quail,Callipepla californica,North America,Geographic,Chaparral/oak woodlands,403,New World Quail (6 Species)
Gambel's Quail,Callipepla gambelii,North America,Geographic,Desert scrub,404,New World Quail (6 Species)
Mountain Quail,Oreortyx pictus,North America,Geographic,Mountain chaparral,405,New World Quail (6 Species)
Montezuma Quail,Cyrtonyx montezumae,North America,Geographic,Pine-oak mountains,406,New World Quail (6 Species)
Plain Chachalaca,Ortalis vetula,North America,Geographic,South Texas,407,Chachalacas (1 Species)
Pied-billed Grebe,Podilymbus podiceps,North America,Geographic,Freshwater wetlands,408,Grebes (7 Species)
Horned Grebe,Podiceps auritus,North America,Geographic,Lakes/coastal waters,409,Grebes (7 Species)
Red-necked Grebe,Podiceps grisegena,North America,Geographic,Large lakes,410,Grebes (7 Species)
Eared Grebe,Podiceps nigricollis,North America,Geographic,Alkaline lakes,411,Grebes (7 Species)
Western Grebe,Aechmophorus occidentalis,North America,Geographic,Large lakes,412,Grebes (7 Species)
Clark's Grebe,Aechmophorus clarkii,North America,Geographic,Large lakes,413,Grebes (7 Species)
Least Grebe,Tachybaptus dominicus,North America,Geographic,South Texas ponds,414,Grebes (7 Species)
Red-throated Loon,Gavia stellata,North America,Geographic,Coastal waters/tundra ponds,415,Loons (5 Species)
Pacific Loon,Gavia pacifica,North America,Geographic,Coastal waters/tundra lakes,416,Loons (5 Species)
Common Loon,Gavia immer,North America,Geographic,Northern lakes,417,Loons (5 Species)
Yellow-billed Loon,Gavia adamsii,North America,Geographic,Arctic waters,418,Loons (5 Species)
Arctic Loon,Gavia arctica,North America,Geographic,Alaska vagrant,419,Loons (5 Species)
Yellow-nosed Albatross,Thalassarche chlororhynchos,North America,Geographic,Atlantic vagrant,420,Albatrosses (4 Species)
Black-browed Albatross,Thalassarche melanophris,North America,Geographic,Atlantic vagrant,421,Albatrosses (4 Species)
Shy Albatross,Thalassarche cauta,North America,Geographic,Pacific vagrant,422,Albatrosses (4 Species)
Laysan Albatross,Phoebastria immutabilis,North America,Geographic,Pacific Ocean,423,Albatrosses (4 Species)
Northern Fulmar,Fulmarus glacialis,North America,Geographic,Pelagic/coastal,424,Petrels & Shearwaters (20+ Species)
Murphy's Petrel,Pterodroma ultima,North America,Geographic,Pacific vagrant,425,Petrels & Shearwaters (20+ Species)
Mottled Petrel,Pterodroma inexpectata,North America,Geographic,Pacific vagrant,426,Petrels & Shearwaters (20+ Species)
Cook's Petrel,Pterodroma cookii,North America,Geographic,Pacific vagrant,427,Petrels & Shearwaters (20+ Species)
Black-capped Petrel,Pterodroma hasitata,North America,Geographic,Atlantic vagrant,428,Petrels & Shearwaters (20+ Species)
Bermuda Petrel,Pterodroma cahow,North America,Geographic,Atlantic vagrant,429,Petrels & Shearwaters (20+ Species)
Fea's Petrel,Pterodroma feae,North America,Geographic,Atlantic vagrant,430,Petrels & Shearwaters (20+ Species)
Great Shearwater,Ardenna gravis,North America,Geographic,Atlantic Ocean,431,Petrels & Shearwaters (20+ Species)
Sooty Shearwater,Ardenna grisea,North America,Geographic,Pacific/Atlantic Oceans,432,Petrels & Shearwaters (20+ Species)
Short-tailed Shearwater,Ardenna tenuirostris,North America,Geographic,Pacific Ocean,433,Petrels & Shearwaters (20+ Species)
Pink-footed Shearwater,Ardenna creatopus,North America,Geographic,Pacific Ocean,434,Petrels & Shearwaters (20+ Species)
Flesh-footed Shearwater,Ardenna carneipes,North America,Geographic,Pacific Ocean,435,Petrels & Shearwaters (20+ Species)
Manx Shearwater,Puffinus puffinus,North America,Geographic,Atlantic Ocean,436,Petrels & Shearwaters (20+ Species)
Black-vented Shearwater,Puffinus opisthomelas,North America,Geographic,Pacific Ocean,437,Petrels & Shearwaters (20+ Species)
Audubon's Shearwater,Puffinus lherminieri,North America,Geographic,Atlantic/Gulf,438,Petrels & Shearwaters (20+ Species)
Wilson's Storm-Petrel,Oceanites oceanicus,North America,Geographic,Atlantic Ocean,439,Storm-Petrels (10+ Species)
White-faced Storm-Petrel,Pelagodroma marina,North America,Geographic,Atlantic vagrant,440,Storm-Petrels (10+ Species)
European Storm-Petrel,Hydrobates pelagicus,North America,Geographic,Atlantic vagrant,441,Storm-Petrels (10+ Species)
Fork-tailed Storm-Petrel,Oceanodroma furcata,North America,Geographic,Pacific Ocean,442,Storm-Petrels (10+ Species)
Leach's Storm-Petrel,Oceanodroma leucorhoa,North America,Geographic,North Pacific/Atlantic,443,Storm-Petrels (10+ Species)
Ashy Storm-Petrel,Oceanodroma homochroa,North America,Geographic,California coast,444,Storm-Petrels (10+ Species)
Band-rumped Storm-Petrel,Oceanodroma castro,North America,Geographic,Atlantic Ocean,445,Storm-Petrels (10+ Species)
Wedge-rumped Storm-Petrel,Oceanodroma tethys,North America,Geographic,Pacific vagrant,446,Storm-Petrels (10+ Species)
Black Storm-Petrel,Oceanodroma melania,North America,Geographic,Pacific Ocean,447,Storm-Petrels (10+ Species)
Least Storm-Petrel,Oceanodroma microsoma,North America,Geographic,Pacific Ocean,448,Storm-Petrels (10+ Species)
White-tailed Tropicbird,Phaethon lepturus,North America,Geographic,Atlantic/Pacific vagrant,449,Tropicbirds (3 Species)
Red-billed Tropicbird,Phaethon aethereus,North America,Geographic,Pacific/Atlantic vagrant,450,Tropicbirds (3 Species)
Red-tailed Tropicbird,Phaethon rubricauda,North America,Geographic,Pacific vagrant,451,Tropicbirds (3 Species)
Northern Gannet,Morus bassanus,North America,Geographic,Atlantic coasts,452,Gannets & Boobies (6 Species)
Masked Booby,Sula dactylatra,North America,Geographic,Tropical waters,453,Gannets & Boobies (6 Species)
Blue-footed Booby,Sula nebouxii,North America,Geographic,Pacific coast,454,Gannets & Boobies (6 Species)
Brown Booby,Sula leucogaster,North America,Geographic,Coastal waters,455,Gannets & Boobies (6 Species)
Red-footed Booby,Sula sula,North America,Geographic,Tropical vagrant,456,Gannets & Boobies (6 Species)
Nazca Booby,Sula granti,North America,Geographic,Pacific vagrant,457,Gannets & Boobies (6 Species)
American White Pelican,Pelecanus erythrorhynchos,North America,Geographic,Large lakes,458,Pelicans (2 Species)
Brown Pelican,Pelecanus occidentalis,North America,Geographic,Coastal waters,459,Pelicans (2 Species)
Brandt's Cormorant,Phalacrocorax penicillatus,North America,Geographic,Pacific coast,460,Cormorants (6 Species)
Neotropic Cormorant,Phalacrocorax brasilianus,North America,Geographic,Southern waters,461,Cormorants (6 Species)
Double-crested Cormorant,Phalacrocorax auritus,North America,Geographic,Widespread waters,462,Cormorants (6 Species)
Great Cormorant,Phalacrocorax carbo,North America,Geographic,Atlantic coast,463,Cormorants (6 Species)
Red-faced Cormorant,Phalacrocorax urile,North America,Geographic,Alaska,464,Cormorants (6 Species)
Pelagic Cormorant,Phalacrocorax pelagicus,North America,Geographic,Pacific coast,465,Cormorants (6 Species)
Anhinga,Anhinga anhinga,North America,Geographic,Freshwater swamps,466,Darters (1 Species)
Magnificent Frigatebird,Fregata magnificens,North America,Geographic,Coastal waters,467,Frigatebirds (1 Species)
American Bittern,Botaurus lentiginosus,North America,Geographic,Freshwater marshes,468,"Herons, Egrets & Bitterns (17 Species)"
Yellow Bittern,Ixobrychus sinensis,North America,Geographic,Alaska vagrant,469,"Herons, Egrets & Bitterns (17 Species)"
Least Bittern,Ixobrychus exilis,North America,Geographic,Freshwater marshes,470,"Herons, Egrets & Bitterns (17 Species)"
Great Blue Heron,Ardea herodias,North America,Geographic,Wetlands,471,"Herons, Egrets & Bitterns (17 Species)"
Great Egret,Ardea alba,North America,Geographic,Wetlands,472,"Herons, Egrets & Bitterns (17 Species)"
Chinese Egret,Egretta eulophotes,North America,Geographic,Alaska vagrant,473,"Herons, Egrets & Bitterns (17 Species)"
Little Egret,Egretta garzetta,North America,Geographic,Vagrant,474,"Herons, Egrets & Bitterns (17 Species)"
Western Reef-Heron,Egretta gularis,North America,Geographic,Atlantic vagrant,475,"Herons, Egrets & Bitterns (17 Species)"
Snowy Egret,Egretta thula,North America,Geographic,Wetlands,476,"Herons, Egrets & Bitterns (17 Species)"
Little Blue Heron,Egretta caerulea,North America,Geographic,Wetlands,477,"Herons, Egrets & Bitterns (17 Species)"
Tricolored Heron,Egretta tricolor,North America,Geographic,Coastal marshes,478,"Herons, Egrets & Bitterns (17 Species)"
Reddish Egret,Egretta rufescens,North America,Geographic,Coastal areas,479,"Herons, Egrets & Bitterns (17 Species)"
Cattle Egret,Bubulcus ibis,North America,Geographic,Fields/wetlands,480,"Herons, Egrets & Bitterns (17 Species)"
Green Heron,Butorides virescens,North America,Geographic,Wetlands,481,"Herons, Egrets & Bitterns (17 Species)"
Black-crowned Night-Heron,Nycticorax nycticorax,North America,Geographic,Wetlands,482,"Herons, Egrets & Bitterns (17 Species)"
Yellow-crowned Night-Heron,Nyctanassa violacea,North America,Geographic,Wetlands,483,"Herons, Egrets & Bitterns (17 Species)"
White Ibis,Eudocimus albus,North America,Geographic,Coastal wetlands,484,Ibises & Spoonbills (4 Species)
Scarlet Ibis,Eudocimus ruber,North America,Geographic,Florida vagrant,485,Ibises & Spoonbills (4 Species)
Glossy Ibis,Plegadis falcinellus,North America,Geographic,Freshwater marshes,486,Ibises & Spoonbills (4 Species)
White-faced Ibis,Plegadis chihi,North America,Geographic,Western marshes,487,Ibises & Spoonbills (4 Species)
Roseate Spoonbill,Platalea ajaja,North America,Geographic,Coastal wetlands,488,Ibises & Spoonbills (4 Species)
Wood Stork,Mycteria americana,North America,Geographic,Freshwater/coastal wetlands,489,Storks (1 Species)
Black Vulture,Coragyps atratus,North America,Geographic,Open areas,490,New World Vultures (3 Species)
Turkey Vulture,Cathartes aura,North America,Geographic,Open areas,491,New World Vultures (3 Species)
California Condor,Gymnogyps californianus,North America,Geographic,Reintroduced population,492,New World Vultures (3 Species)
American Flamingo,Phoenicopterus ruber,North America,Geographic,Florida vagrant,493,Flamingos (1 Species)
Sandhill Crane,Antigone canadensis,North America,Geographic,Wetlands/fields,494,Cranes (2 Species)
Whooping Crane,Grus americana,North America,Geographic,Wetlands (Endangered),495,Cranes (2 Species)
Yellow Rail,Coturnicops noveboracensis,North America,Geographic,Shallow wetlands,496,"Rails, Gallinules & Coots (13 Species)"
Black Rail,Laterallus jamaicensis,North America,Geographic,Salt marshes,497,"Rails, Gallinules & Coots (13 Species)"
Corn Crake,Crex crex,North America,Geographic,Atlantic vagrant,498,"Rails, Gallinules & Coots (13 Species)"
Clapper Rail,Rallus crepitans,North America,Geographic,Salt marshes,499,"Rails, Gallinules & Coots (13 Species)"
King Rail,Rallus elegans,North America,Geographic,Freshwater marshes,500,"Rails, Gallinules & Coots (13 Species)"
Virginia Rail,Rallus limicola,North America,Geographic,Freshwater marshes,501,"Rails, Gallinules & Coots (13 Species)"
Sora,Porzana carolina,North America,Geographic,Freshwater marshes,502,"Rails, Gallinules & Coots (13 Species)"
Paint-billed Crake,Mustelirallus erythrops,North America,Geographic,South Texas vagrant,503,"Rails, Gallinules & Coots (13 Species)"
Spotted Rail,Pardirallus maculatus,North America,Geographic,South Texas vagrant,504,"Rails, Gallinules & Coots (13 Species)"
Purple Gallinule,Porphyrio martinicus,North America,Geographic,Freshwater wetlands,505,"Rails, Gallinules & Coots (13 Species)"
Azure Gallinule,Porphyrio flavirostris,North America,Geographic,South Texas vagrant,506,"Rails, Gallinules & Coots (13 Species)"
Common Gallinule,Gallinula galeata,North America,Geographic,Freshwater wetlands,507,"Rails, Gallinules & Coots (13 Species)"
American Coot,Fulica americana,North America,Geographic,Open water,508,"Rails, Gallinules & Coots (13 Species)"
Black-bellied Plover,Pluvialis squatarola,North America,Geographic,Coastal areas,509,Plovers (15+ Species)
American Golden-Plover,Pluvialis dominica,North America,Geographic,Short grass areas,510,Plovers (15+ Species)
Pacific Golden-Plover,Pluvialis fulva,North America,Geographic,Alaska/Pacific coast,511,Plovers (15+ Species)
European Golden-Plover,Pluvialis apricaria,North America,Geographic,Alaska vagrant,512,Plovers (15+ Species)
Killdeer,Charadrius vociferus,North America,Geographic,Open areas,513,Plovers (15+ Species)
Common Ringed Plover,Charadrius hiaticula,North America,Geographic,Alaska vagrant,514,Plovers (15+ Species)
Semipalmated Plover,Charadrius semipalmatus,North America,Geographic,Beaches/mudflats,515,Plovers (15+ Species)
Piping Plover,Charadrius melodus,North America,Geographic,Sandy beaches,516,Plovers (15+ Species)
Little Ringed Plover,Charadrius dubius,North America,Geographic,Alaska vagrant,517,Plovers (15+ Species)
Wilson's Plover,Charadrius wilsonia,North America,Geographic,Sandy beaches,518,Plovers (15+ Species)
Collared Plover,Charadrius collaris,North America,Geographic,South Texas vagrant,519,Plovers (15+ Species)
Snowy Plover,Charadrius nivosus,North America,Geographic,Sandy beaches,520,Plovers (15+ Species)
Mountain Plover,Charadrius montanus,North America,Geographic,Short grass prairie,521,Plovers (15+ Species)
Eurasian Dotterel,Charadrius morinellus,North America,Geographic,Alaska vagrant,522,Plovers (15+ Species)
American Oystercatcher,Haematopus palliatus,North America,Geographic,Rocky/sandy coasts,523,Oystercatchers (2 Species)
Black Oystercatcher,Haematopus bachmani,North America,Geographic,Rocky Pacific coast,524,Oystercatchers (2 Species)
Black-necked Stilt,Himantopus mexicanus,North America,Geographic,Shallow wetlands,525,Stilts & Avocets (2 Species)
American Avocet,Recurvirostra americana,North America,Geographic,Shallow wetlands,526,Stilts & Avocets (2 Species)
Upland Sandpiper,Bartramia longicauda,North America,Geographic,Grasslands,527,Sandpipers & Allies (60+ Species)
Whimbrel,Numenius phaeopus,North America,Geographic,Coastal areas,528,Sandpipers & Allies (60+ Species)
Bristle-thighed Curlew,Numenius tahitiensis,North America,Geographic,Alaska,529,Sandpipers & Allies (60+ Species)
Long-billed Curlew,Numenius americanus,North America,Geographic,Grasslands/mudflats,530,Sandpipers & Allies (60+ Species)
Far Eastern Curlew,Numenius madagascariensis,North America,Geographic,Alaska vagrant,531,Sandpipers & Allies (60+ Species)
Eurasian Curlew,Numenius arquata,North America,Geographic,Alaska vagrant,532,Sandpipers & Allies (60+ Species)
Hudsonian Godwit,Limosa haemastica,North America,Geographic,Mudflats,533,Sandpipers & Allies (60+ Species)
Bar-tailed Godwit,Limosa lapponica,North America,Geographic,Mudflats,534,Sandpipers & Allies (60+ Species)
Black-tailed Godwit,Limosa limosa,North America,Geographic,Alaska vagrant,535,Sandpipers & Allies (60+ Species)
Marbled Godwit,Limosa fedoa,North America,Geographic,Mudflats,536,Sandpipers & Allies (60+ Species)
Ruddy Turnstone,Arenaria interpres,North America,Geographic,Rocky shores,537,Sandpipers & Allies (60+ Species)
Black Turnstone,Arenaria melanocephala,North America,Geographic,Rocky Pacific shores,538,Sandpipers & Allies (60+ Species)
Great Knot,Calidris tenuirostris,North America,Geographic,Alaska vagrant,539,Sandpipers & Allies (60+ Species)
Red Knot,Calidris canutus,North America,Geographic,Sandy beaches,540,Sandpipers & Allies (60+ Species)
Surfbird,Calidris virgata,North America,Geographic,Rocky shores,541,Sandpipers & Allies (60+ Species)
Ruff,Calidris pugnax,North America,Geographic,Mudflats,542,Sandpipers & Allies (60+ Species)
Broad-billed Sandpiper,Calidris falcinellus,North America,Geographic,Alaska vagrant,543,Sandpipers & Allies (60+ Species)
Sharp-tailed Sandpiper,Calidris acuminata,North America,Geographic,Alaska vagrant,544,Sandpipers & Allies (60+ Species)
Stilt Sandpiper,Calidris himantopus,North America,Geographic,Mudflats,545,Sandpipers & Allies (60+ Species)
Curlew Sandpiper,Calidris ferruginea,North America,Geographic,Mudflats,546,Sandpipers & Allies (60+ Species)
Temminck's Stint,Calidris temminckii,North America,Geographic,Alaska vagrant,547,Sandpipers & Allies (60+ Species)
Long-toed Stint,Calidris subminuta,North America,Geographic,Alaska vagrant,548,Sandpipers & Allies (60+ Species)
Spoon-billed Sandpiper,Calidris pygmaea,North America,Geographic,Alaska vagrant,549,Sandpipers & Allies (60+ Species)
Red-necked Stint,Calidris ruficollis,North America,Geographic,Alaska vagrant,550,Sandpipers & Allies (60+ Species)
Sanderling,Calidris alba,North America,Geographic,Sandy beaches,551,Sandpipers & Allies (60+ Species)
Dunlin,Calidris alpina,North America,Geographic,Mudflats,552,Sandpipers & Allies (60+ Species)
Rock Sandpiper,Calidris ptilocnemis,North America,Geographic,Rocky shores,553,Sandpipers & Allies (60+ Species)
Purple Sandpiper,Calidris maritima,North America,Geographic,Rocky Atlantic shores,554,Sandpipers & Allies (60+ Species)
Baird's Sandpiper,Calidris bairdii,North America,Geographic,Mudflats/pools,555,Sandpipers & Allies (60+ Species)
Little Stint,Calidris minuta,North America,Geographic,Alaska vagrant,556,Sandpipers & Allies (60+ Species)
Least Sandpiper,Calidris minutilla,North America,Geographic,Mudflats,557,Sandpipers & Allies (60+ Species)
White-rumped Sandpiper,Calidris fuscicollis,North America,Geographic,Mudflats,558,Sandpipers & Allies (60+ Species)
Buff-breasted Sandpiper,Calidris subruficollis,North America,Geographic,Short grass areas,559,Sandpipers & Allies (60+ Species)
Pectoral Sandpiper,Calidris melanotos,North America,Geographic,Grassy edges,560,Sandpipers & Allies (60+ Species)
Semipalmated Sandpiper,Calidris pusilla,North America,Geographic,Mudflats,561,Sandpipers & Allies (60+ Species)
Western Sandpiper,Calidris mauri,North America,Geographic,Mudflats,562,Sandpipers & Allies (60+ Species)
Short-billed Dowitcher,Limnodromus griseus,North America,Geographic,Mudflats,563,Sandpipers & Allies (60+ Species)
Long-billed Dowitcher,Limnodromus scolopaceus,North America,Geographic,Mudflats,564,Sandpipers & Allies (60+ Species)
Jack Snipe,Lymnocryptes minimus,North America,Geographic,Alaska vagrant,565,Sandpipers & Allies (60+ Species)
Wilson's Snipe,Gallinago delicata,North America,Geographic,Wet meadows,566,Sandpipers & Allies (60+ Species)
Pin-tailed Snipe,Gallinago stenura,North America,Geographic,Alaska vagrant,567,Sandpipers & Allies (60+ Species)
Common Snipe,Gallinago gallinago,North America,Geographic,Alaska vagrant,568,Sandpipers & Allies (60+ Species)
American Woodcock,Scolopax minor,North America,Geographic,Moist woodlands,569,Sandpipers & Allies (60+ Species)
Eurasian Woodcock,Scolopax rusticola,North America,Geographic,Alaska vagrant,570,Sandpipers & Allies (60+ Species)
Solitary Sandpiper,Tringa solitaria,North America,Geographic,Wooded ponds,571,Sandpipers & Allies (60+ Species)
Gray-tailed Tattler,Tringa brevipes,North America,Geographic,Rocky shores,572,Sandpipers & Allies (60+ Species)
Wandering Tattler,Tringa incana,North America,Geographic,Rocky Pacific shores,573,Sandpipers & Allies (60+ Species)
Spotted Redshank,Tringa erythropus,North America,Geographic,Alaska vagrant,574,Sandpipers & Allies (60+ Species)
Common Greenshank,Tringa nebularia,North America,Geographic,Alaska vagrant,575,Sandpipers & Allies (60+ Species)
Marsh Sandpiper,Tringa stagnatilis,North America,Geographic,Alaska vagrant,576,Sandpipers & Allies (60+ Species)
Wood Sandpiper,Tringa glareola,North America,Geographic,Alaska vagrant,577,Sandpipers & Allies (60+ Species)
Spotted Sandpiper,Actitis macularius,North America,Geographic,Near water,578,Sandpipers & Allies (60+ Species)
Green Sandpiper,Tringa ochropus,North America,Geographic,Alaska vagrant,579,Sandpipers & Allies (60+ Species)
Willet,Tringa semipalmata,North America,Geographic,Coastal areas,580,Sandpipers & Allies (60+ Species)
Lesser Yellowlegs,Tringa flavipes,North America,Geographic,Shallow water,581,Sandpipers & Allies (60+ Species)
Common Redshank,Tringa totanus,North America,Geographic,Alaska vagrant,582,Sandpipers & Allies (60+ Species)
Greater Yellowlegs,Tringa melanoleuca,North America,Geographic,Shallow water,583,Sandpipers & Allies (60+ Species)
Common Sandpiper,Actitis hypoleucos,North America,Geographic,Alaska vagrant,584,Sandpipers & Allies (60+ Species)
Terek Sandpiper,Xenus cinereus,North America,Geographic,Alaska vagrant,585,Sandpipers & Allies (60+ Species)
Wilson's Phalarope,Phalaropus tricolor,North America,Geographic,Shallow wetlands,586,Phalaropes (3 Species)
Red-necked Phalarope,Phalaropus lobatus,North America,Geographic,Pelagic/tundra ponds,587,Phalaropes (3 Species)
Red Phalarope,Phalaropus fulicarius,North America,Geographic,Pelagic/Arctic,588,Phalaropes (3 Species)
Oriental Pratincole,Glareola maldivarum,North America,Geographic,Alaska vagrant,589,Pratincoles & Coursers (1 Species)
Great Skua,Stercorarius skua,North America,Geographic,Pelagic waters,590,Skuas & Jaegers (6 Species)
South Polar Skua,Stercorarius maccormicki,North America,Geographic,Pelagic waters,591,Skuas & Jaegers (6 Species)
Pomarine Jaeger,Stercorarius pomarinus,North America,Geographic,Pelagic waters,592,Skuas & Jaegers (6 Species)
Parasitic Jaeger,Stercorarius parasiticus,North America,Geographic,Pelagic waters,593,Skuas & Jaegers (6 Species)
Long-tailed Jaeger,Stercorarius longicaudus,North America,Geographic,Tundra/pelagic,594,Skuas & Jaegers (6 Species)
Black-legged Kittiwake,Rissa tridactyla,North America,Geographic,Pelagic/coastal,595,Gulls (30+ Species)
Red-legged Kittiwake,Rissa brevirostris,North America,Geographic,Bering Sea,596,Gulls (30+ Species)
Ivory Gull,Pagophila eburnea,North America,Geographic,Arctic vagrant,597,Gulls (30+ Species)
Sabine's Gull,Xema sabini,North America,Geographic,Arctic/pelagic,598,Gulls (30+ Species)
Bonaparte's Gull,Chroicocephalus philadelphia,North America,Geographic,Lakes/coasts,599,Gulls (30+ Species)
Black-headed Gull,Chroicocephalus ridibundus,North America,Geographic,Vagrant,600,Gulls (30+ Species)
Little Gull,Hydrocoloeus minutus,North America,Geographic,Lakes/coasts,601,Gulls (30+ Species)
Ross's Gull,Rhodostethia rosea,North America,Geographic,Arctic vagrant,602,Gulls (30+ Species)
Laughing Gull,Leucophaeus atricilla,North America,Geographic,Coastal areas,603,Gulls (30+ Species)
Franklin's Gull,Leucophaeus pipixcan,North America,Geographic,Prairie lakes,604,Gulls (30+ Species)
Black-tailed Gull,Larus crassirostris,North America,Geographic,Alaska vagrant,605,Gulls (30+ Species)
Heermann's Gull,Larus heermanni,North America,Geographic,Pacific coast,606,Gulls (30+ Species)
Mew Gull,Larus canus,North America,Geographic,Coastal/inland waters,607,Gulls (30+ Species)
Ring-billed Gull,Larus delawarensis,North America,Geographic,Widespread,608,Gulls (30+ Species)
Western Gull,Larus occidentalis,North America,Geographic,Pacific coast,609,Gulls (30+ Species)
Yellow-footed Gull,Larus livens,North America,Geographic,Salton Sea,610,Gulls (30+ Species)
California Gull,Larus californicus,North America,Geographic,Western lakes/coasts,611,Gulls (30+ Species)
Herring Gull,Larus argentatus,North America,Geographic,Widespread,612,Gulls (30+ Species)
Yellow-legged Gull,Larus michahellis,North America,Geographic,Atlantic vagrant,613,Gulls (30+ Species)
Thayer's Gull,Larus thayeri,North America,Geographic,Pacific Northwest,614,Gulls (30+ Species)
Iceland Gull,Larus glaucoides,North America,Geographic,Arctic/Atlantic,615,Gulls (30+ Species)
Lesser Black-backed Gull,Larus fuscus,North America,Geographic,Atlantic coast,616,Gulls (30+ Species)
Slaty-backed Gull,Larus schistisagus,North America,Geographic,Alaska,617,Gulls (30+ Species)
Glaucous-winged Gull,Larus glaucescens,North America,Geographic,Pacific coast,618,Gulls (30+ Species)
Glaucous Gull,Larus hyperboreus,North America,Geographic,Arctic/northern coasts,619,Gulls (30+ Species)
Great Black-backed Gull,Larus marinus,North America,Geographic,Atlantic coast,620,Gulls (30+ Species)
Kelp Gull,Larus dominicanus,North America,Geographic,Atlantic vagrant,621,Gulls (30+ Species)
Least Tern,Sternula antillarum,North America,Geographic,Coastal areas,622,Terns (25+ Species)
Gull-billed Tern,Gelochelidon nilotica,North America,Geographic,Coastal marshes,623,Terns (25+ Species)
Caspian Tern,Hydroprogne caspia,North America,Geographic,Large water bodies,624,Terns (25+ Species)
Black Tern,Chlidonias niger,North America,Geographic,Freshwater marshes,625,Terns (25+ Species)
White-winged Tern,Chlidonias leucopterus,North America,Geographic,Vagrant,626,Terns (25+ Species)
Whiskered Tern,Chlidonias hybrida,North America,Geographic,Vagrant,627,Terns (25+ Species)
Roseate Tern,Sterna dougallii,North America,Geographic,Coastal islands,628,Terns (25+ Species)
Common Tern,Sterna hirundo,North America,Geographic,Coastal/inland waters,629,Terns (25+ Species)
Arctic Tern,Sterna paradisaea,North America,Geographic,Arctic/coastal,630,Terns (25+ Species)
Forster's Tern,Sterna forsteri,North America,Geographic,Inland/coastal marshes,631,Terns (25+ Species)
Royal Tern,Thalasseus maximus,North America,Geographic,Coastal areas,632,Terns (25+ Species)
Sandwich Tern,Thalasseus sandvicensis,North America,Geographic,Coastal areas,633,Terns (25+ Species)
Elegant Tern,Thalasseus elegans,North America,Geographic,Pacific coast,634,Terns (25+ Species)
Bridled Tern,Onychoprion anaethetus,North America,Geographic,Tropical waters,635,Terns (25+ Species)
Sooty Tern,Onychoprion fuscatus,North America,Geographic,Tropical waters,636,Terns (25+ Species)
Aleutian Tern,Onychoprion aleuticus,North America,Geographic,Alaska,637,Terns (25+ Species)
Gray-backed Tern,Onychoprion lunatus,North America,Geographic,Hawaii vagrant,638,Terns (25+ Species)
Brown Noddy,Anous stolidus,North America,Geographic,Tropical waters,639,Terns (25+ Species)
Black Noddy,Anous minutus,North America,Geographic,Tropical waters,640,Terns (25+ Species)
Blue-gray Noddy,Anous ceruleus,North America,Geographic,Pacific vagrant,641,Terns (25+ Species)
Black Skimmer,Rynchops niger,North America,Geographic,Coastal waters,642,Skimmers (1 Species)
Dovekie,Alle alle,North America,Geographic,Arctic/Atlantic waters,643,"AUKS, MURRES & PUFFINS (25+ Species)"
Common Murre,Uria aalge,North America,Geographic,Coastal cliffs/waters,644,"AUKS, MURRES & PUFFINS (25+ Species)"
Thick-billed Murre,Uria lomvia,North America,Geographic,Arctic waters,645,"AUKS, MURRES & PUFFINS (25+ Species)"
Razorbill,Alca torda,North America,Geographic,North Atlantic,646,"AUKS, MURRES & PUFFINS (25+ Species)"
Great Auk,Pinguinus impennis,North America,Geographic,Extinct (1844),647,"AUKS, MURRES & PUFFINS (25+ Species)"
Black Guillemot,Cepphus grylle,North America,Geographic,Arctic/Atlantic coasts,648,"AUKS, MURRES & PUFFINS (25+ Species)"
Pigeon Guillemot,Cepphus columba,North America,Geographic,Pacific coast,649,"AUKS, MURRES & PUFFINS (25+ Species)"
Long-billed Murrelet,Brachyramphus perdix,North America,Geographic,North Pacific,650,"AUKS, MURRES & PUFFINS (25+ Species)"
Marbled Murrelet,Brachyramphus marmoratus,North America,Geographic,Pacific old-growth coasts,651,"AUKS, MURRES & PUFFINS (25+ Species)"
